"Condition","sigma_theta","h2","bias"
"Oracle",1.25878863874664,0.509503501550238,0
"Baseline: correctly specified",1.21984869977009,0.472426353213316,-0.0370771483369218
"Misspecified: omitted familial extrinsic",1.53660627361844,0.585989698946059,0.0764861973958207
"Recovery: two-component refit",1.21851562469366,0.476458879762671,-0.0330446217875668
"Check: no survivor cutoff",1.28553296670021,0.497014176723353,0.00261476639351048
"Check: pleiotropy only",1.37578619977009,0.528428113504547,0.0189246119543091
"Control: nonfamilial extrinsic",1.25883307477009,0.478128469584621,-0.0313750319656169
"Control: irrelevant trait",1.26371564861844,0.502159270867819,-0.00734423068241918
"Control: vanishing extrinsic",1.26684605412147,0.500410101637312,-0.0090933999129259
"Comparator: Hamilton",NA,0.42733166400892,-0.0821718375413176
